lncipediaGeneID,ensemblGeneID
LINC02039,ENSG00000248107.1
LINC02526,ENSG00000229654.1
lnc-FSCN2-1,ENSG00000229848.1
lnc-KDM5C-1,ENSG00000234019.1
lnc-CNST-1,ENSG00000235021.1
LINC01683,ENSG00000233480.1
lnc-PCDH10-6,ENSG00000249000.1
TMEM92-AS1,ENSG00000251179.1
lnc-NPR3-2,ENSG00000249102.1
lnc-LPP-1,ENSG00000234238.1
lnc-TRMT61B-3,ENSG00000227938.1
lnc-IDS-3,ENSG00000237741.1
LINC02222,ENSG00000248717.1
lnc-FIG4-1,ENSG00000232311.1
lnc-LAPTM5-1,ENSG00000229607.1
lnc-CISD1-1,ENSG00000228527.1
lnc-TMEM98-2,ENSG00000236377.1
LINC01650,ENSG00000230434.1
lnc-LARGE1-11,ENSG00000237316.1
LINC02273,ENSG00000245954.6
lnc-DDX53-1,ENSG00000237019.1
lnc-NCAM2-1,ENSG00000234730.1
lnc-CASK-1,ENSG00000233103.1
LINC02596,ENSG00000233431.1
lnc-ABI3-2,ENSG00000177369.8
lnc-FBN2-3,ENSG00000250603.1
lnc-TASP1-8,ENSG00000235292.1
LINC02085,ENSG00000214407.3
lnc-NABP1-6,ENSG00000229395.1
LINC01697,ENSG00000232079.6
lnc-KAT7-3,ENSG00000248954.1
lnc-QPCT-1,ENSG00000232028.1
lnc-MCM2-2,ENSG00000240562.1
lnc-SEC61G-3,ENSG00000238131.1
LINC02433,ENSG00000234111.6
lnc-CCDC74A-2,ENSG00000244337.2
lnc-LRRTM1-6,ENSG00000231781.1
lnc-ZMAT5-1,ENSG00000239446.1
LINC01067,ENSG00000236053.1
lnc-TIFA-3,ENSG00000248432.1
lnc-USP9X-1,ENSG00000223714.1
lnc-PABPC4L-10,ENSG00000249847.1
lnc-CHGA-1,ENSG00000258742.5
LINC02573,ENSG00000233236.1
lnc-MN1-5,ENSG00000223726.1
lnc-ERICH2-1,ENSG00000239467.5
lnc-ANXA1-3,ENSG00000232590.1
lnc-THAP5-2,ENSG00000234273.1
lnc-MRPL39-13,ENSG00000228592.1
LINC02514,ENSG00000250042.1
lnc-ADAMTS16-2,ENSG00000249941.1
lnc-ACP1-4,ENSG00000236856.1
lnc-PTPRC-1,ENSG00000225172.5
lnc-SKIL-1,ENSG00000239628.1
lnc-MYADM-1,ENSG00000232324.1
LINC01331,ENSG00000248673.1
LINC00029,ENSG00000125514.9
lnc-C6orf141-2,ENSG00000226733.2
LINC02236,ENSG00000249734.1
lnc-DYDC1-1,ENSG00000226659.1
lnc-NPY5R-2,ENSG00000248431.1
BACH1-IT3,ENSG00000234293.1
lnc-TMPRSS15-11,ENSG00000237527.1
LINC02220,ENSG00000248457.1
lnc-ZEB2-4,ENSG00000225107.1
LINC00320,ENSG00000224924.6
LINC02233,ENSG00000250488.1
lnc-KLF4-15,ENSG00000237062.1
lnc-SLC2A13-2,ENSG00000225342.2
lnc-PRR32-1,ENSG00000237208.1
lnc-GDA-1,ENSG00000235523.1
lnc-TPTE2-1,ENSG00000229791.1
lnc-POLR3A-1,ENSG00000228683.1
lnc-XPO7-3,ENSG00000254334.1
LINC02543,ENSG00000232947.1
lnc-FBXO8-5,ENSG00000251216.1
lnc-ACTL7B-3,ENSG00000230030.1
LINC02116,ENSG00000250417.1
LINC00391,ENSG00000238230.1
lnc-HIST2H3PS2-13,ENSG00000235887.2
lnc-AUH-2,ENSG00000230537.1
HTT-AS,ENSG00000251075.1
lnc-GUCY1A1-2,ENSG00000251244.1
lnc-MTERF1-3,ENSG00000235450.1
LINC01502,ENSG00000237339.5
lnc-COL6A1-3,ENSG00000226115.1
lnc-RPP30-3,ENSG00000225519.1
LINC01810,ENSG00000237266.1
LINC01957,ENSG00000251542.1
LINC02480,ENSG00000251040.1
LINC01273,ENSG00000231742.5
lnc-DPT-1,ENSG00000235736.1
lnc-SPO11-4,ENSG00000231078.1
lnc-CDK5RAP1-1,ENSG00000224876.1
lnc-PABPC4L-7,ENSG00000250865.1
LINC01056,ENSG00000237119.1
LINC02431,ENSG00000248872.1
lnc-TRIML2-7,ENSG00000250024.1
lnc-DACT2-1,ENSG00000237987.1
lnc-GPM6A-3,ENSG00000248551.1
LINC01890,ENSG00000228329.1
LINC01137,ENSG00000233621.1
lnc-BCL2L11-3,ENSG00000240350.2
LINC02199,ENSG00000250198.1
lnc-FGFRL1-9,ENSG00000227189.2
lnc-OSR1-2,ENSG00000234597.1
lnc-BARHL2-1,ENSG00000229201.1
LINC01787,ENSG00000231987.1
lnc-SLC6A11-1,ENSG00000230599.2
lnc-CXorf66-1,ENSG00000231110.1
lnc-BMS1-1,ENSG00000234944.1
LINC02198,ENSG00000249352.4
LINC00940,ENSG00000235049.1
lnc-ASB13-1,ENSG00000228951.1
lnc-VCY-1,ENSG00000223517.1
lnc-CFAP74-2,ENSG00000226969.1
lnc-FOXD2-3,ENSG00000225028.1
lnc-IGFBP7-8,ENSG00000249892.1
lnc-FAM20C-1,ENSG00000239715.1
LINC00492,ENSG00000250958.1
LINC00919,ENSG00000260268.5
lnc-RHOH-1,ENSG00000250338.1
lnc-IGFBP7-3,ENSG00000250333.1
LINC02513,ENSG00000248227.1
lnc-CLSTN1-2,ENSG00000235263.1
lnc-TRMT112-2,ENSG00000231680.1
lnc-PTPA-1,ENSG00000235007.2
LINC01032,ENSG00000285280.1
lnc-AIFM2-1,ENSG00000224222.1
lnc-C9orf116-3,ENSG00000233936.1
lnc-TIMP3-4,ENSG00000232073.1
lnc-IRS1-2,ENSG00000235070.3
lnc-FAM3C-1,ENSG00000227743.1
lnc-WDR37-3,ENSG00000226694.2
LINC01748,ENSG00000231252.2
lnc-DLX3-3,ENSG00000246640.1
LINC01054,ENSG00000229723.1
lnc-HMGCLL1-1,ENSG00000224984.1
LINC02130,ENSG00000260009.1
lnc-EDRF1-1,ENSG00000228021.7
lnc-CPO-4,ENSG00000225916.1
lnc-PHACTR3-1,ENSG00000227282.1
MEIS1-AS3,ENSG00000226819.1
lnc-ATP6V1G3-1,ENSG00000223881.1
LINC02578,ENSG00000235201.1
lnc-PAX1-4,ENSG00000234862.1
LINC01385,ENSG00000251604.1
lnc-OGFRL1-1,ENSG00000230597.1
LINC00427,ENSG00000236463.1
lnc-TAGAP-2,ENSG00000231178.1
LINC00377,ENSG00000229246.1
lnc-MAPKAP1-1,ENSG00000229582.3
lnc-EMB-2,ENSG00000251601.1
MIR4458HG,ENSG00000247516.6
LINC02100,ENSG00000248693.1
LINC01517,ENSG00000236716.1
lnc-F11-2,ENSG00000250971.1
lnc-BCKDHB-1,ENSG00000233967.6
lnc-ZSWIM6-8,ENSG00000248199.1
lnc-PRELID2-3,ENSG00000250842.1
lnc-LANCL2-1,ENSG00000223475.1
lnc-SPATA31D1-4,ENSG00000225085.1
LINC02529,ENSG00000234777.1
lnc-NOCT-12,ENSG00000250665.1
LINC01048,ENSG00000230390.1
LINC00352,ENSG00000227893.1
lnc-SLC35B4-1,ENSG00000229177.1
CYMP-AS1,ENSG00000235407.1
lnc-NRIP1-3,ENSG00000224247.1
lnc-ZNF621-2,ENSG00000231873.1
lnc-LIPI-26,ENSG00000229306.1
ITPR1-DT,ENSG00000231249.1
lnc-ZNF32-2,ENSG00000234973.5
lnc-ST6GALNAC5-1,ENSG00000230498.1
lnc-TTLL7-6,ENSG00000233290.1
lnc-ANLN-2,ENSG00000229424.1
lnc-ITIH2-2,ENSG00000230121.1
lnc-PWP2-1,ENSG00000237604.1
lnc-SFN-1,ENSG00000226698.1
lnc-CMPK2-14,ENSG00000232835.1
lnc-GADD45G-5,ENSG00000237626.1
HCG27,ENSG00000206344.7
lnc-ZC3H12D-7,ENSG00000234675.1
lnc-CERK-18,ENSG00000235154.1
lnc-PLA2G4A-5,ENSG00000225006.1
lnc-ZFP64-2,ENSG00000225785.1
lnc-PRELID3B-1,ENSG00000225129.1
lnc-DNAJC28-1,ENSG00000231355.1
lnc-GZMK-2,ENSG00000248029.2
lnc-USP11-1,ENSG00000203402.2
LINC01768,ENSG00000228420.1
lnc-FTCD-1,ENSG00000227438.1
lnc-DNAJC19-2,ENSG00000241231.1
lnc-SPRY1-11,ENSG00000249125.1
LINC01804,ENSG00000231031.6
lnc-PRKAA2-3,ENSG00000235612.1
lnc-TMPRSS15-13,ENSG00000227075.1
lnc-NR4A2-4,ENSG00000230991.1
lnc-MTRR-1,ENSG00000251168.1
lnc-TMEM206-2,ENSG00000224535.1
lnc-PHF14-4,ENSG00000235431.1
LINC01221,ENSG00000235492.1
lnc-DTWD2-4,ENSG00000251293.1
LINC01612,ENSG00000250266.1
lnc-USP6NL-11,ENSG00000228636.1
lnc-TRAM1L1-2,ENSG00000250791.1
lnc-SPOCK3-2,ENSG00000249675.1
lnc-CRYBA4-6,ENSG00000238195.1
lnc-SPRED2-2,ENSG00000235725.1
lnc-C5orf49-2,ENSG00000249638.1
lnc-BTG3-3,ENSG00000232886.1
lnc-PELI1-5,ENSG00000238201.1
lnc-ARL4C-3,ENSG00000226542.1
LINC00606,ENSG00000226567.1
PSORS1C3,ENSG00000204528.3
LINC01053,ENSG00000238169.1
lnc-CNTNAP3-1,ENSG00000231140.3
LINC02150,ENSG00000248150.1
lnc-PFN2-2,ENSG00000241048.1
lnc-UNC93A-1,ENSG00000228648.1
LINC02119,ENSG00000248461.1
lnc-CASC10-2,ENSG00000230109.1
lnc-JAM2-7,ENSG00000226996.5
lnc-AGBL4-2,ENSG00000233407.1
lnc-NDUFS6-4,ENSG00000249326.1
lnc-IGFBP3-8,ENSG00000230680.2
lnc-ELFN1-1,ENSG00000231476.1
LINC02428,ENSG00000248740.5
lnc-SLC35F5-23,ENSG00000235242.1
lnc-GLRB-5,ENSG00000251511.1
lnc-ATIC-3,ENSG00000225166.1
RTCA-AS1,ENSG00000224616.1
lnc-SMAD5-3,ENSG00000249803.5
lnc-NPHP4-1,ENSG00000236948.2
lnc-ZMYM3-1,ENSG00000228427.1
lnc-ZNF783-1,ENSG00000228151.1
lnc-BCL6-4,ENSG00000236412.1
lnc-TRUB1-1,ENSG00000236799.1
LINC00316,ENSG00000237664.1
lnc-SLC30A5-1,ENSG00000250066.1
HCG24,ENSG00000230313.1
EHHADH-AS1,ENSG00000223358.5
lnc-FGFR2-1,ENSG00000223432.1
lnc-KIT-2,ENSG00000248317.1
lnc-NR1I2-1,ENSG00000242622.1
lnc-MAP3K7-1,ENSG00000224605.1
LINC00350,ENSG00000225316.1
lnc-PFKP-9,ENSG00000235281.1
lnc-MANEA-2,ENSG00000229600.1
lnc-RAP2B-3,ENSG00000241912.1
lnc-NRG2-2,ENSG00000251387.1
LINC02051,ENSG00000226859.1
lnc-TMEM169-2,ENSG00000227824.1
lnc-FGF10-2,ENSG00000250418.1
lnc-GDF7-2,ENSG00000236436.1
lnc-CST3-1,ENSG00000225056.1
lnc-GRHL2-8,ENSG00000248599.1
DLEU1-AS1,ENSG00000229323.1
lnc-MAP3K8-1,ENSG00000230298.1
lnc-LAMB3-2,ENSG00000224260.6
lnc-LARGE1-1,ENSG00000224404.1
lnc-CRISP1-1,ENSG00000226707.1
LINC01218,ENSG00000251636.1
LINC01386,ENSG00000251324.1
lnc-MRPS30-3,ENSG00000248148.1
LINC01456,ENSG00000225882.1
lnc-COA6-7,ENSG00000282097.1
PINCR,ENSG00000224294.1
lnc-LAPTM4A-2,ENSG00000234378.1
lnc-ARHGAP22-1,ENSG00000236800.1
lnc-INSIG1-1,ENSG00000225612.1
lnc-RHEX-2,ENSG00000226780.1
lnc-MFSD9-5,ENSG00000232597.5
lnc-ALDH1B1-9,ENSG00000228467.2
lnc-IFNAR2-1,ENSG00000226433.1
lnc-CNTN6-1,ENSG00000235158.1
LINC00354,ENSG00000226903.1
FRGCA,ENSG00000236663.1
lnc-ARF5-4,ENSG00000241921.1
LINC01865,ENSG00000233684.2
lnc-DDX18-1,ENSG00000236255.1
lnc-APOC3-2,ENSG00000226645.1
lnc-CHST2-1,ENSG00000243733.1
lnc-IGFBP1-4,ENSG00000229459.1
lnc-DAP-1,ENSG00000250576.1
lnc-TRAPPC12-2,ENSG00000226649.1
lnc-REG3G-3,ENSG00000229494.1
LINC01861,ENSG00000251183.1
lnc-SIX2-1,ENSG00000231156.1
lnc-RAB28-2,ENSG00000250371.1
LINC02058,ENSG00000248528.1
lnc-HOXD13-1,ENSG00000235047.1
LINC01889,ENSG00000235491.1
lnc-SEL1L3-1,ENSG00000251009.2
lnc-ABCD3-4,ENSG00000233482.1
lnc-TRIM43-7,ENSG00000235584.2
lnc-ISL1-1,ENSG00000251125.1
LINC00486,ENSG00000236854.1
lnc-IER3-15,ENSG00000237923.1
lnc-WARS2-2,ENSG00000227712.1
lnc-CCDC7-18,ENSG00000203565.2
lnc-CDH22-1,ENSG00000229957.1
lnc-CNOT6-4,ENSG00000248367.1
lnc-LRGUK-1,ENSG00000231098.1
lnc-ZNF791-2,ENSG00000234848.1
lnc-HDDC2-2,ENSG00000226409.2
LINC01327,ENSG00000241669.1
lnc-SPATA31A7-1,ENSG00000223379.1
LINC01825,ENSG00000223466.1
lnc-ASAP2-4,ENSG00000242136.1
lnc-ROBO2-2,ENSG00000240573.1
lnc-KCNE4-3,ENSG00000235610.1
lnc-TTPA-1,ENSG00000253205.5
LINC02530,ENSG00000234015.1
FRMPD3-AS1,ENSG00000227610.1
lnc-FBXO8-1,ENSG00000251213.1
LINC01449,ENSG00000224017.1
lnc-ZNF423-2,ENSG00000261751.1
lnc-GRAMD4-2,ENSG00000234869.1
lnc-CCDC125-6,ENSG00000248359.1
lnc-CLDN14-1,ENSG00000231324.1
LINC01074,ENSG00000227611.1
lnc-PHIP-1,ENSG00000229495.1
lnc-SCLT1-1,ENSG00000250193.1
lnc-GINM1-1,ENSG00000235168.1
lnc-PCDH7-2,ENSG00000251434.1
LINC01333,ENSG00000251041.1
lnc-SYK-6,ENSG00000233081.1
lnc-TRIM7-1,ENSG00000248514.1
lnc-PTPRD-4,ENSG00000230365.1
lnc-PHOX2B-3,ENSG00000249771.1
TTTY8,ENSG00000183385.9
LINC01505,ENSG00000234323.6
LINC01756,ENSG00000230523.1
lnc-RIOK2-2,ENSG00000251054.1
lnc-FAM49A-3,ENSG00000232444.1
lnc-PADI1-1,ENSG00000204362.6
lnc-HS3ST3B1-1,ENSG00000230647.1
lnc-TGFBRAP1-8,ENSG00000231626.1
lnc-EIPR1-5,ENSG00000237720.1
lnc-C1orf21-2,ENSG00000231791.1
lnc-FAM182B-4,ENSG00000230440.1
lnc-TM4SF1-1,ENSG00000243885.1
lnc-ERP44-3,ENSG00000237461.1
LINC02037,ENSG00000238097.1
lnc-UBE2H-1,ENSG00000242078.1
lnc-IGSF5-1,ENSG00000231713.2
lnc-FBXW4-1,ENSG00000224817.1
lnc-ZFP64-5,ENSG00000232286.1
lnc-BET1-1,ENSG00000236938.1
lnc-MYOF-1,ENSG00000226425.1
lnc-TBXT-2,ENSG00000223942.1
lnc-TMEM185B-2,ENSG00000237614.1
LINC01326,ENSG00000244321.1
LINC01248,ENSG00000224128.1
LINC02030,ENSG00000240708.1
lnc-OPRK1-3,ENSG00000237807.3
lnc-TACR1-1,ENSG00000236209.1
LINC002481,ENSG00000246526.2
lnc-GSDME-3,ENSG00000228944.1
lnc-EEPD1-4,ENSG00000232930.1
LINC01805,ENSG00000223863.1
lnc-COL8A1-2,ENSG00000243296.1
LINC01381,ENSG00000230452.1
lnc-IRF2BP2-1,ENSG00000230628.1
lnc-ZPBP-4,ENSG00000235620.1
LINC02434,ENSG00000248370.1
lnc-BTRC-1,ENSG00000225208.1
lnc-RTP5-1,ENSG00000235151.1
lnc-MERTK-1,ENSG00000225744.1
lnc-GBE1-5,ENSG00000242828.1
lnc-GATA3-4,ENSG00000226861.1
lnc-TET2-2,ENSG00000248373.5
LINC01149,ENSG00000230174.1
lnc-AKR1E2-5,ENSG00000236990.1
lnc-TPK1-1,ENSG00000230746.1
lnc-SERTAD2-3,ENSG00000237638.1
lnc-OR2J3-7,ENSG00000227206.1
lnc-TOR1AIP2-1,ENSG00000231966.1
lnc-ERC2-1,ENSG00000242317.1
lnc-ID2-2,ENSG00000229740.1
lnc-ADGRL4-8,ENSG00000224326.1
lnc-TGFBR1-1,ENSG00000227269.1
LINC00387,ENSG00000231914.1
LINC00415,ENSG00000231983.1
lnc-NTM-3,ENSG00000227125.1
lnc-POLE4-8,ENSG00000230836.1
LINC01946,ENSG00000223647.1
lnc-PXDN-1,ENSG00000203635.2
LINC02000,ENSG00000243832.1
lnc-ADAMTS6-1,ENSG00000250081.1
lnc-PPDPFL-5,ENSG00000233858.4
lnc-PSMG1-4,ENSG00000237609.1
LINC02027,ENSG00000243694.2
lnc-SPTSSB-1,ENSG00000240354.1
lnc-PTPRU-5,ENSG00000233372.1
LINC01182,ENSG00000250634.5
lnc-NIFK-6,ENSG00000228400.1
lnc-PHF10-1,ENSG00000232640.1
LINC01834,ENSG00000261316.1
lnc-SSU72P8-2,ENSG00000197462.3
lnc-B3GNT10-22,ENSG00000225960.1
LINC01226,ENSG00000284543.1
lnc-FRG1-6,ENSG00000251310.1
LINC01933,ENSG00000254226.5
lnc-KCND2-1,ENSG00000233969.1
lnc-CRYBA4-5,ENSG00000231405.1
lnc-ABRAXAS1-1,ENSG00000249171.1
LINC00437,ENSG00000236354.1
LINC01840,ENSG00000230215.1
lnc-CD55-2,ENSG00000237074.2
LINC01258,ENSG00000249534.1
lnc-POLR3G-2,ENSG00000249265.1
IGFBP7-AS1,ENSG00000250192.1
LINC02278,ENSG00000251635.1
LINC02264,ENSG00000229565.1
lnc-NBAS-3,ENSG00000235127.1
lnc-GDNF-2,ENSG00000250032.1
lnc-CCKAR-14,ENSG00000251410.1
lnc-GPR149-2,ENSG00000243969.1
lnc-PAX1-2,ENSG00000238034.1
lnc-NEK6-1,ENSG00000231227.1
lnc-SNCB-2,ENSG00000251446.1
LINC02239,ENSG00000248908.1
LINC01046,ENSG00000233405.1
LINC02211,ENSG00000245662.3
LINC02042,ENSG00000240893.1
LRRC3-DT,ENSG00000229356.1
lnc-THBS2-5,ENSG00000225879.1
lnc-KLF15-2,ENSG00000251448.1
LINC01811,ENSG00000226320.5
lnc-KBTBD8-1,ENSG00000241884.2
lnc-CPN2-3,ENSG00000232874.1
lnc-ACTL8-1,ENSG00000236648.1
lnc-INTS1-1,ENSG00000231927.1
lnc-PDGFRA-2,ENSG00000248518.1
LINC00319,ENSG00000188660.3
lnc-PGRMC1-1,ENSG00000230392.1
lnc-TNP1-1,ENSG00000231597.1
lnc-SLC22A11-2,ENSG00000232500.1
LINC01402,ENSG00000228139.1
lnc-ZNF680-10,ENSG00000227148.1
lnc-POT1-1,ENSG00000224899.1
lnc-SGPL1-1,ENSG00000271409.1
LINC01107,ENSG00000225493.1
lnc-PFKP-2,ENSG00000234182.1
lnc-POLR1E-2,ENSG00000234160.1
LINC01428,ENSG00000228888.1
lnc-TRABD2B-3,ENSG00000231413.1
lnc-NQO2-3,ENSG00000228365.1
lnc-CDKN2AIPNL-1,ENSG00000250564.1
lnc-PAPD7-2,ENSG00000251365.1
LINC02500,ENSG00000249460.1
lnc-FBXL7-3,ENSG00000249737.1
lnc-CDH9-2,ENSG00000248490.1
lnc-GATB-2,ENSG00000249708.1
lnc-ITGA4-1,ENSG00000234595.1
LINC02556,ENSG00000236611.1
lnc-ADCY2-2,ENSG00000251678.1
lnc-MN1-2,ENSG00000227838.1
LINC00589,ENSG00000248964.6
lnc-TWIST2-6,ENSG00000227459.1
lnc-XIRP2-1,ENSG00000228222.1
lnc-SYNGR1-1,ENSG00000224794.2
lnc-FZD8-1,ENSG00000227313.1
LINC02430,ENSG00000250252.1
LINC01179,ENSG00000249500.1
lnc-COX10-1,ENSG00000231595.1
TMEM212-IT1,ENSG00000235943.1
LINC01673,ENSG00000234052.1
lnc-TBCK-1,ENSG00000249635.1
lnc-FOXQ1-21,ENSG00000176515.1
lnc-LMBR1-3,ENSG00000228569.1
lnc-JMJD1C-1,ENSG00000224301.1
lnc-HOXB8-1,ENSG00000272763.1
LINC02516,ENSG00000261083.1
LINC01948,ENSG00000248727.5
LINC01345,ENSG00000226374.2
LINC01953,ENSG00000236193.3
lnc-SPANXN2-1,ENSG00000234712.1
LINC01176,ENSG00000281404.1
TTTY21,ENSG00000228890.1
lnc-XPNPEP1-1,ENSG00000203434.2
LINC02214,ENSG00000251311.1
LINC01435,ENSG00000229981.7
lnc-PRDM11-4,ENSG00000255267.3
lnc-GRID1-2,ENSG00000223993.1
lnc-MKI67-3,ENSG00000232985.1
LINC02542,ENSG00000226453.1
lnc-WDR70-7,ENSG00000251518.1
lnc-PRPF18-6,ENSG00000233256.1
lnc-SPOCD1-1,ENSG00000203620.2
lnc-SUN3-2,ENSG00000228173.1
lnc-ADD3-3,ENSG00000223381.1
lnc-LRP8-2,ENSG00000226938.1
lnc-KLHL29-1,ENSG00000233714.1
lnc-NCOA3-7,ENSG00000228503.1
lnc-TAF4-6,ENSG00000229755.1
lnc-PPARGC1A-3,ENSG00000249547.1
LINC01728,ENSG00000233277.1
LINC02089,ENSG00000226364.1
lnc-IGFL1-1,ENSG00000268460.1
lnc-NMNAT3-1,ENSG00000250543.1
lnc-LANCL2-1,ENSG00000233977.1
lnc-MCFD2-1,ENSG00000226548.1
LINC02590,ENSG00000233978.1
lnc-NDUFS6-6,ENSG00000249731.1
lnc-WDR4-1,ENSG00000225218.1
lnc-CCT5-2,ENSG00000249807.1
LINC01022,ENSG00000232715.1
lnc-UCK2-3,ENSG00000229588.1
lnc-RXFP4-1,ENSG00000224276.1
LINC01455,ENSG00000250888.1
LINC01438,ENSG00000249519.1
lnc-EXTL1-1,ENSG00000284309.1
LINC01935,ENSG00000224095.1
lnc-REG3G-5,ENSG00000230968.1
lnc-RGS17-1,ENSG00000237312.1
lnc-PFKP-10,ENSG00000237500.1
lnc-IKZF1-3,ENSG00000229403.1
lnc-GGPS1-2,ENSG00000237520.1
LINC01108,ENSG00000226673.2
lnc-TSPY10-4,ENSG00000228379.1
lnc-ZNF711-1,ENSG00000235461.1
lnc-BOD1L1-3,ENSG00000251412.1
lnc-PID1-1,ENSG00000228226.1
lnc-SLC35B3-1,ENSG00000234763.1
lnc-PSMG1-4,ENSG00000237721.1
lnc-WRN-3,ENSG00000254095.1
LINC-PINT,ENSG00000231721.7
lnc-GRHL2-7,ENSG00000253355.1
LINC00174,ENSG00000179406.7
lnc-NFE2L2-2,ENSG00000236501.5
lnc-NUDT12-5,ENSG00000251574.6
lnc-WNT11-1,ENSG00000255362.1
LINC01115,ENSG00000237667.5
lnc-NMBR-2,ENSG00000234147.1
LINC01823,ENSG00000224655.5
lnc-APOC3-6,ENSG00000257067.5
lnc-ZBBX-4,ENSG00000240033.1
lnc-APOC3-4,ENSG00000237937.5
LINC01376,ENSG00000236204.5
TCL6,ENSG00000187621.14
lnc-CDH9-6,ENSG00000250453.1
lnc-MDM4-3,ENSG00000228153.1
LINC01830,ENSG00000231200.1
lnc-TP53I11-3,ENSG00000255032.1
lnc-SPATA31A7-2,ENSG00000231527.5
LINC01128,ENSG00000228794.8
lnc-ZMAT4-1,ENSG00000254383.1
lnc-SLC35C1-1,ENSG00000255447.1
lnc-API5-3,ENSG00000254822.1
lnc-JUN-2,ENSG00000231740.1
lnc-ROCK2-3,ENSG00000145063.14
lnc-PRDM11-3,ENSG00000254427.1
TTTY7B,ENSG00000147761.8
lnc-MTNR1B-1,ENSG00000254874.1
LINC01192,ENSG00000241369.5
lnc-ITGB8-2,ENSG00000233834.6
lnc-HHIP-1,ENSG00000250406.1
lnc-POU3F3-2,ENSG00000230690.1
CYTOR,ENSG00000222041.11
lnc-CREB3L1-2,ENSG00000255314.2
LINC00484,ENSG00000229694.6
lnc-FOXD4L5-40,ENSG00000235659.1
lnc-XPC-2,ENSG00000255021.1
lnc-TMEM30B-1,ENSG00000247287.2
LINC00571,ENSG00000223685.5
LINC00326,ENSG00000231023.6
lnc-NUTM2G-6,ENSG00000224848.1
lnc-FBXO32-2,ENSG00000254113.1
lnc-LTBP2-1,ENSG00000258976.1
OR2A1-AS1,ENSG00000244479.7
lnc-TAF1L-1,ENSG00000230516.1
H19,ENSG00000130600.18
LINC00608,ENSG00000236445.4
LINC00989,ENSG00000250334.5
LINC01287,ENSG00000234722.3
FAM224B,ENSG00000230663.1
FAM225B,ENSG00000225684.3
lnc-MSC-1,ENSG00000253287.1
lnc-KCNH5-1,ENSG00000259093.1
LINC01333,ENSG00000249343.1
LINC01873,ENSG00000232164.1
lnc-RRAS2-9,ENSG00000254438.1
ZBED5-AS1,ENSG00000246308.1
LINC01393,ENSG00000225535.6
lnc-TRIM26-2,ENSG00000231074.8
lnc-POTEH-3,ENSG00000225255.6
SNHG26,ENSG00000228649.8
lnc-MFAP2-53,ENSG00000238142.1
LINC00894,ENSG00000235703.5
lnc-MFSD8-11,ENSG00000248491.5
lnc-CDH18-2,ENSG00000251487.1
TTC28-AS1,ENSG00000235954.6
LINC00879,ENSG00000239589.5
lnc-CYP7A1-1,ENSG00000253281.6
lnc-DLK1-35,ENSG00000225746.10
LINC00184,ENSG00000224939.1
lnc-PAWR-1,ENSG00000257894.2
lnc-C8A-6,ENSG00000235038.1
KRTAP5-AS1,ENSG00000233930.3
HOTAIR,ENSG00000228630.5
lnc-RNASE1-1,ENSG00000259130.1
MEG9,ENSG00000223403.4
lnc-NKAIN3-14,ENSG00000254119.5
lnc-GPR65-15,ENSG00000258496.1
LINC01492,ENSG00000225564.6
lnc-ALX1-2,ENSG00000258815.1
CHODL-AS1,ENSG00000231755.1
lnc-STRAP-1,ENSG00000255565.1
lnc-KCNB2-12,ENSG00000254277.1
lnc-SLC6A12-2,ENSG00000256540.1
LINC00992,ENSG00000248663.6
ITGB2-AS1,ENSG00000227039.6
LINC01715,ENSG00000229388.1
lnc-TLR3-2,ENSG00000235149.1
lnc-IGFBP7-3,ENSG00000251049.2
KIF25-AS1,ENSG00000229921.6
lnc-DLGAP5-4,ENSG00000258413.1
lnc-SH2D4A-2,ENSG00000254242.1
lnc-ZBTB2-1,ENSG00000231883.1
lnc-LRRC32-2,ENSG00000255479.1
lnc-XRCC3-1,ENSG00000246451.2
LINC02324,ENSG00000255002.1
LINC01422,ENSG00000235271.5
lnc-JAM3-4,ENSG00000255406.1
JPX,ENSG00000225470.7
LINC00824,ENSG00000254275.6
LINC02226,ENSG00000249159.6
LINC01353,ENSG00000231507.1
lnc-HOXD13-2,ENSG00000229066.1
lnc-GGT2-26,ENSG00000206142.9
LINC01320,ENSG00000228262.8
LINC02307,ENSG00000258969.1
lnc-ETNK1-3,ENSG00000256995.6
lnc-AGPAT5-1,ENSG00000245857.2
lnc-NAALAD2-4,ENSG00000255187.1
LINC02237,ENSG00000253434.6
LINC01891,ENSG00000231682.1
LINC01677,ENSG00000233047.6
lnc-C1orf61-2,ENSG00000236947.5
lnc-LINC02203-6,ENSG00000258654.1
LINC00303,ENSG00000176754.12
lnc-SNTG2-1,ENSG00000223751.1
lnc-TDRD15-3,ENSG00000231204.5
lnc-MYCBP2-1,ENSG00000233379.1
lnc-METAP1-11,ENSG00000246090.6
lnc-DKK3-2,ENSG00000254847.1
lnc-TFEC-1,ENSG00000237870.6
lnc-ATXN7L3B-2,ENSG00000257587.1
lnc-MICU3-1,ENSG00000253184.1
LINC02055,ENSG00000254101.5
LINC02451,ENSG00000257164.5
lnc-UBE2K-2,ENSG00000255458.5
lnc-TRIM49-1,ENSG00000254971.1
lnc-ATP6V0D2-2,ENSG00000253154.1
LINC02461,ENSG00000258331.1
lnc-GOLGA6L6-1,ENSG00000258410.1
TMEM254-AS1,ENSG00000230091.6
lnc-ERI1-11,ENSG00000254235.5
