lncipediaGeneID,ensemblGeneID
lnc-GRM7-2,ENSG00000189229.10
CASC18,ENSG00000257859.1
HOXA-AS2,ENSG00000253552.7
lnc-EXOSC6-2,ENSG00000247228.2
PSMG3-AS1,ENSG00000230487.7
lnc-ALX4-5,ENSG00000246250.2
LINC01351,ENSG00000241505.1
lnc-ZNF644-1,ENSG00000233593.8
LINC00847,ENSG00000245060.6
LINC02268,ENSG00000248174.5
lnc-ACTR2-3,ENSG00000204929.12
MIR646HG,ENSG00000228340.5
lnc-C8orf74-1,ENSG00000248896.2
LINC02579,ENSG00000233694.5
lnc-NAT2-1,ENSG00000187229.3
FAM111A-DT,ENSG00000245571.6
LINC01415,ENSG00000267325.1
LINC01159,ENSG00000229743.2
lnc-FAM78A-1,ENSG00000246851.1
MYCNOS,ENSG00000233718.7
lnc-FAM20C-3,ENSG00000240859.1
PCF11-AS1,ENSG00000247137.8
LINC01305,ENSG00000231453.1
LINC00857,ENSG00000237523.1
LINC00877,ENSG00000241163.7
TP53TG1,ENSG00000182165.17
lnc-KLF17-1,ENSG00000230615.6
lnc-ATP6AP2-4,ENSG00000223486.1
FZD10-DT,ENSG00000250208.6
SNHG5,ENSG00000203875.10
lnc-COA6-6,ENSG00000228044.2
lnc-NKX2-6-1,ENSG00000254002.1
lnc-GADD45A-9,ENSG00000232284.7
lnc-TFAP2A-4,ENSG00000237685.1
LINC00944,ENSG00000256128.5
lnc-SCRN3-3,ENSG00000236449.1
LINC00964,ENSG00000249816.6
SAP30L-AS1,ENSG00000245275.7
lnc-SULF1-3,ENSG00000246528.3
lnc-SCAND1-3,ENSG00000232406.6
lnc-HPGDS-1,ENSG00000246541.2
LINC01194,ENSG00000248131.5
lnc-USP34-1,ENSG00000212978.6
lnc-IL6-3,ENSG00000232759.1
SCAMP1-AS1,ENSG00000245556.2
BAALC-AS1,ENSG00000247081.7
LINC00954,ENSG00000228784.7
LINC01498,ENSG00000247213.6
lnc-HPCAL1-1,ENSG00000257135.5
LINC00472,ENSG00000233237.6
MIR503HG,ENSG00000223749.9
LINC00615,ENSG00000196243.5
NEAT1,ENSG00000245532.8
LINC01060,ENSG00000249378.5
lnc-DSCC1-1,ENSG00000245330.4
lnc-F2RL2-2,ENSG00000225407.3
lnc-ZBED5-1,ENSG00000250041.2
lnc-CPVL-4,ENSG00000223813.2
SOX5-AS1,ENSG00000256120.1
CARMN,ENSG00000249669.9
LINC01970,ENSG00000265692.1
LINC00663,ENSG00000266904.5
lnc-KLRC4-KLRK1-2,ENSG00000256288.1
LINC00682,ENSG00000245870.3
LINC02347,ENSG00000214043.7
lnc-APAF1-1,ENSG00000257458.1
RMST,ENSG00000255794.7
LINC01018,ENSG00000250056.5
RAD51-AS1,ENSG00000245849.6
LINC02470,ENSG00000225231.1
lnc-DDX51-6,ENSG00000255933.1
APCDD1L-DT,ENSG00000231290.5
LINC02202,ENSG00000245812.2
SNHG17,ENSG00000196756.11
KCNMB2-AS1,ENSG00000237978.5
SPATA3-AS1,ENSG00000238062.5
FGF13-AS1,ENSG00000226031.5
SEC24B-AS1,ENSG00000247950.6
lnc-SLC26A8-1,ENSG00000246982.6
C9orf135-DT,ENSG00000225626.2
lnc-SPO11-1,ENSG00000226308.1
lnc-SHANK2-1,ENSG00000246889.2
LINC00518,ENSG00000183674.11
GATA3-AS1,ENSG00000197308.9
lnc-RIMBP2-6,ENSG00000256137.1
lnc-NRGN-1,ENSG00000250073.2
LINC02067,ENSG00000240567.1
FTX,ENSG00000230590.9
lnc-ANXA2R-1,ENSG00000177738.3
lnc-BEST3-1,ENSG00000247131.5
PART1,ENSG00000152931.7
lnc-BLID-3,ENSG00000246790.2
lnc-FAM84B-15,ENSG00000246228.6
LINC01684,ENSG00000237484.5
LINC02402,ENSG00000257510.1
UBA6-AS1,ENSG00000248049.6
lnc-PTN-2,ENSG00000234352.9
LINC01801,ENSG00000267767.2
lnc-MPEG1-1,ENSG00000214797.3
LINC00926,ENSG00000247982.6
PTPRD-AS1,ENSG00000225706.1
ZRANB2-AS2,ENSG00000229956.10
lnc-BTG4-2,ENSG00000255428.1
lnc-ZFC3H1-8,ENSG00000258294.5
ZSCAN16-AS1,ENSG00000269293.2
GATA2-AS1,ENSG00000244300.2
MIR548XHG,ENSG00000224141.5
LINC00479,ENSG00000236384.7
PURPL,ENSG00000250337.5
LINC02453,ENSG00000245017.2
LINC00630,ENSG00000223546.6
lnc-TNFRSF13B-1,ENSG00000230709.1
lnc-RFLNA-3,ENSG00000214650.2
FOXP1-AS1,ENSG00000244203.2
MIR3150BHG,ENSG00000245080.7
NBAT1,ENSG00000260455.1
LINC01301,ENSG00000251396.6
SATB2-AS1,ENSG00000225953.2
LINC00943,ENSG00000189238.5
lnc-EFEMP1-3,ENSG00000233251.7
lnc-CALM2-2,ENSG00000234690.6
lnc-ERGIC2-5,ENSG00000256513.1
lnc-NUBPL-1,ENSG00000250365.6
LINC01312,ENSG00000223586.5
lnc-PABPC4L-9,ENSG00000251199.5
LINC01303,ENSG00000250548.6
lnc-PIK3C2G-1,ENSG00000256389.1
lnc-SENP6-3,ENSG00000225793.2
lnc-IKBIP-14,ENSG00000258312.1
EPB41L4A-AS1,ENSG00000224032.6
LINC00861,ENSG00000245164.6
lnc-DAD1-2,ENSG00000251002.7
lnc-SLC15A4-14,ENSG00000256001.1
lnc-PRSS23-1,ENSG00000246523.7
DDX11-AS1,ENSG00000245614.3
FLG-AS1,ENSG00000237975.6
HHIP-AS1,ENSG00000248890.1
LINC01184,ENSG00000245937.7
lnc-COX6A1-1,ENSG00000256695.1
HIPK1-AS1,ENSG00000235527.6
LINC02376,ENSG00000256292.1
lnc-SPRY1-11,ENSG00000249464.5
PAX8-AS1,ENSG00000189223.14
lnc-RPS24-3,ENSG00000230417.11
lnc-P4HA1-1,ENSG00000272630.1
lnc-SPAG9-1,ENSG00000247011.2
KCNQ1-AS1,ENSG00000229414.2
LINC02401,ENSG00000257762.5
SLC26A4-AS1,ENSG00000233705.6
LINC01136,ENSG00000233791.5
lnc-LXN-1,ENSG00000243150.5
LINC00858,ENSG00000229404.5
LINC00996,ENSG00000242258.1
LINC00908,ENSG00000263812.5
CBR3-AS1,ENSG00000236830.6
PCAT19,ENSG00000267107.6
lnc-TUB-1,ENSG00000246820.2
BDNF-AS,ENSG00000245573.7
lnc-TMEM132B-10,ENSG00000255998.1
lnc-PYGL-1,ENSG00000258711.2
lnc-C12orf74-5,ENSG00000258125.1
LINC01624,ENSG00000227508.6
lnc-FLII-1,ENSG00000266677.1
lnc-CES5A-3,ENSG00000246379.6
IL10RB-DT,ENSG00000223799.1
LINC01134,ENSG00000236423.5
SLC25A5-AS1,ENSG00000224281.4
ATP6V0E2-AS1,ENSG00000204934.10
lnc-DRD2-3,ENSG00000247416.2
RERG-AS1,ENSG00000255660.1
APTR,ENSG00000214293.8
LINC02029,ENSG00000241544.1
lnc-WNT8A-57,ENSG00000246323.2
LINC00963,ENSG00000204054.13
SNAP25-AS1,ENSG00000227906.7
LINC00265,ENSG00000188185.11
lnc-ALDH3B1-2,ENSG00000251637.6
LINC00885,ENSG00000224652.1
lnc-DUSP1-4,ENSG00000204758.7
lnc-LGALSL-2,ENSG00000225889.7
lnc-CPNE8-1,ENSG00000258119.1
lnc-CHST4-3,ENSG00000247324.2
POT1-AS1,ENSG00000224897.6
LINC01819,ENSG00000231826.5
LINC02356,ENSG00000257595.2
lnc-ENDOD1-1,ENSG00000245552.6
lnc-PLCB1-1,ENSG00000229766.6
lnc-CCDC63-1,ENSG00000257268.1
RNF144A-AS1,ENSG00000228203.6
TUB-AS1,ENSG00000248332.6
LINC02441,ENSG00000256643.1
lnc-FDX1-1,ENSG00000254416.5
COL18A1-AS1,ENSG00000183535.9
KRBOX1-AS1,ENSG00000206552.4
lnc-OGFOD1-2,ENSG00000260198.1
lnc-PDZD8-4,ENSG00000235198.1
LINC02388,ENSG00000257259.1
LINC01750,ENSG00000231437.3
MIR99AHG,ENSG00000215386.12
lnc-ZNF726-1,ENSG00000268362.5
lnc-NXPH2-3,ENSG00000228043.5
lnc-TMEM88B-3,ENSG00000224870.6
LINC01016,ENSG00000249346.6
lnc-DIO3-4,ENSG00000258497.1
